time,c_max,c_min,dt,grain_tracker,total_solute
0,0.3500999842169,0.34990000183378,0,60,350000.18452293
10,0.43571857276698,0.30832748600105,10,60,350000.18452292
12,0.44308134877399,0.30160640144876,2,60,350000.18452292
13.6,0.4465534017336,0.29766982477503,1.6,60,350000.18452292
15.2,0.4490147091999,0.29492218035275,1.6,60,350000.18452292
